Word	BlogFreq	BlogFreqPm	BlogCD	BlogCDPc	TwitterFreq	TwitterFreqPm	TwitterCD	TwitterCDPc	NewsFreq	NewsFreqPm	NewsCD	NewsCDPc.
nản	584	35.6690	431	0.1071	1601	131.7178	1546	0.1845	330	18.7874	326	0.1146
loa	584	35.6690	486	0.1207	454	37.3516	421	0.0502	413	23.5127	362	0.1273
bưng	584	35.6690	548	0.1361	163	13.4104	151	0.0180	129	7.3442	129	0.0454
rách	583	35.6079	535	0.1329	307	25.2576	291	0.0347	286	16.2824	274	0.0963
út	581	35.4858	461	0.1145	426	35.0480	403	0.0481	521	29.6613	449	0.1579
eo	581	35.4858	546	0.1356	1134	93.2967	1099	0.1311	429	24.4236	368	0.1294
email	581	35.4858	455	0.1130	510	41.9588	470	0.0561	543	30.9138	494	0.1737
lưới	580	35.4247	499	0.1240	93	7.6513	87	0.0104	2353	133.9599	2033	0.7148
vung	579	35.3636	550	0.1366	111	9.1322	105	0.0125	163	9.2798	159	0.0559
gai	578	35.3025	499	0.1240	795	65.4064	743	0.0887	341	19.4137	306	0.1076
ngượng	576	35.1804	555	0.1379	219	18.0176	210	0.0251	155	8.8244	154	0.0541
phơi	575	35.1193	530	0.1317	258	21.2262	240	0.0286	485	27.6118	431	0.1515
phun	575	35.1193	533	0.1324	203	16.7013	196	0.0234	480	27.3271	411	0.1445
lấn	575	35.1193	539	0.1339	119	9.7904	114	0.0136	813	46.2853	751	0.2640
lưỡng	575	35.1193	557	0.1384	84	6.9109	83	0.0099	490	27.8964	484	0.1702
chật	575	35.1193	560	0.1391	201	16.5367	197	0.0235	549	31.2554	532	0.1870
láng	573	34.9971	539	0.1339	160	13.1636	156	0.0186	709	40.3645	650	0.2285
gen	573	34.9971	452	0.1123	161	13.2458	152	0.0181	153	8.7105	117	0.0411
tăm	572	34.9361	546	0.1356	357	29.3712	351	0.0419	305	17.3641	282	0.0991
khoai	572	34.9361	408	0.1014	492	40.4779	461	0.0550	479	27.2702	303	0.1065
cuộn	572	34.9361	545	0.1354	101	8.3095	100	0.0119	230	13.0943	212	0.0745
tị	571	34.8750	500	0.1242	721	59.3183	696	0.0830	204	11.6140	180	0.0633
ngả	570	34.8139	542	0.1347	48	3.9491	47	0.0056	259	14.7453	258	0.0907
nghiến	570	34.8139	468	0.1163	51	4.1959	47	0.0056	107	6.0917	78	0.0274
